week,profile_id,sim_index,metric,value
8,ono_v3_calibrated,1,supply,440159330.530539
8,ono_v3_calibrated,1,minted,4660449.214024
8,ono_v3_calibrated,1,burned,2152094.730853
8,ono_v3_calibrated,1,providers,2058.000000
8,ono_v3_calibrated,1,capacity,371697.281150
8,ono_v3_calibrated,1,utilization,4.842650
8,ono_v3_calibrated,1,solvencyScore,0.461778
8,ono_v3_calibrated,1,profit_avg_provider,-28.788226
8,ono_v3_calibrated,1,incentive_ratio,-0.293652
8,ono_v3_calibrated,1,retention_absolute,0.686000
8,ono_v3_calibrated,1,retention_rate,0.900262
9,ono_v3_calibrated,1,price,0.000100
9,ono_v3_calibrated,1,supply,438970464.744564
9,ono_v3_calibrated,1,minted,4661134.214024
9,ono_v3_calibrated,1,burned,5850000.000000
9,ono_v3_calibrated,1,providers,1852.500000
9,ono_v3_calibrated,1,capacity,334270.349860
9,ono_v3_calibrated,1,utilization,5.384863
9,ono_v3_calibrated,1,solvencyScore,1.255059
9,ono_v3_calibrated,1,profit_avg_provider,-29.138279
9,ono_v3_calibrated,1,incentive_ratio,-0.757779
9,ono_v3_calibrated,1,retention_absolute,0.617500
9,ono_v3_calibrated,1,retention_rate,0.900146
0,helium_bme_v1,0,price,3.000000
0,helium_bme_v1,0,supply,180344532.292991
0,helium_bme_v1,0,minted,500000.000000
0,helium_bme_v1,0,burned,155467.707009
0,helium_bme_v1,0,providers,370000.000000
0,helium_bme_v1,0,capacity,65996161.798908
0,helium_bme_v1,0,utilization,3.363832
0,helium_bme_v1,0,solvencyScore,0.310935
0,helium_bme_v1,0,profit_avg_provider,-4.108780
0,helium_bme_v1,0,incentive_ratio,-0.493243
0,helium_bme_v1,0,retention_absolute,1.000000
0,helium_bme_v1,0,retention_rate,1.000000
1,helium_bme_v1,0,price,1.103638
1,helium_bme_v1,0,supply,180666042.073959
1,helium_bme_v1,0,minted,500000.000000
1,helium_bme_v1,0,burned,178490.219033
1,helium_bme_v1,0,providers,333000.000000
1,helium_bme_v1,0,capacity,59578523.411395
1,helium_bme_v1,0,utilization,3.726175
1,helium_bme_v1,0,solvencyScore,0.356980
1,helium_bme_v1,0,profit_avg_provider,-6.464991
1,helium_bme_v1,0,incentive_ratio,-0.792861
1,helium_bme_v1,0,retention_absolute,0.900000
1,helium_bme_v1,0,retention_rate,0.900000
2,helium_bme_v1,0,price,0.406006
2,helium_bme_v1,0,supply,180892771.998298
2,helium_bme_v1,0,minted,500125.000000
2,helium_bme_v1,0,burned,273395.075660
2,helium_bme_v1,0,providers,299700.000000
2,helium_bme_v1,0,capacity,53588647.699220
2,helium_bme_v1,0,utilization,4.142668
2,helium_bme_v1,0,solvencyScore,0.546653
2,helium_bme_v1,0,profit_avg_provider,-7.461389
2,helium_bme_v1,0,incentive_ratio,-0.915310
2,helium_bme_v1,0,retention_absolute,0.810000
2,helium_bme_v1,0,retention_rate,0.900000
3,helium_bme_v1,0,price,0.149361
3,helium_bme_v1,0,supply,180662219.632140
3,helium_bme_v1,0,minted,512612.500000
3,helium_bme_v1,0,burned,743164.866158
3,helium_bme_v1,0,providers,269730.000000
3,helium_bme_v1,0,capacity,48291604.690707
3,helium_bme_v1,0,utilization,4.597072
3,helium_bme_v1,0,solvencyScore,1.449760
3,helium_bme_v1,0,profit_avg_provider,-7.885155
3,helium_bme_v1,0,incentive_ratio,-0.964518
3,helium_bme_v1,0,retention_absolute,0.729000
3,helium_bme_v1,0,retention_rate,0.900000
4,helium_bme_v1,0,price,0.406006
4,helium_bme_v1,0,supply,180912614.139813
4,helium_bme_v1,0,minted,523789.583333
4,helium_bme_v1,0,burned,273395.075660
4,helium_bme_v1,0,providers,242905.000000
4,helium_bme_v1,0,capacity,43517344.889207
4,helium_bme_v1,0,utilization,5.101414
4,helium_bme_v1,0,solvencyScore,0.521956
4,helium_bme_v1,0,profit_avg_provider,-7.331093
4,helium_bme_v1,0,incentive_ratio,-0.890563
4,helium_bme_v1,0,retention_absolute,0.656500
4,helium_bme_v1,0,retention_rate,0.900549
5,helium_bme_v1,0,price,0.149361
5,helium_bme_v1,0,supply,180703336.773655
5,helium_bme_v1,0,minted,533887.500000
5,helium_bme_v1,0,burned,743164.866158
5,helium_bme_v1,0,providers,218670.000000
5,helium_bme_v1,0,capacity,39237996.845475
5,helium_bme_v1,0,utilization,5.657781
5,helium_bme_v1,0,solvencyScore,1.391988
5,helium_bme_v1,0,profit_avg_provider,-7.819642
5,helium_bme_v1,0,incentive_ratio,-0.954416
5,helium_bme_v1,0,retention_absolute,0.591000
5,helium_bme_v1,0,retention_rate,0.900228
6,helium_bme_v1,0,price,0.406006
6,helium_bme_v1,0,supply,180972925.031328
6,helium_bme_v1,0,minted,542983.333333
6,helium_bme_v1,0,burned,273395.075660
6,helium_bme_v1,0,providers,196840.000000
6,helium_bme_v1,0,capacity,35284926.157391
6,helium_bme_v1,0,utilization,6.291639
6,helium_bme_v1,0,solvencyScore,0.503505
6,helium_bme_v1,0,profit_avg_provider,-7.088698
6,helium_bme_v1,0,incentive_ratio,-0.860004
6,helium_bme_v1,0,retention_absolute,0.532000
6,helium_bme_v1,0,retention_rate,0.900169
7,helium_bme_v1,0,price,0.149361
7,helium_bme_v1,0,supply,180780914.331837
7,helium_bme_v1,0,minted,551154.166667
7,helium_bme_v1,0,burned,743164.866158
7,helium_bme_v1,0,providers,177230.000000
7,helium_bme_v1,0,capacity,31692797.047582
7,helium_bme_v1,0,utilization,7.004746
7,helium_bme_v1,0,solvencyScore,1.348379
7,helium_bme_v1,0,profit_avg_provider,-7.780672
7,helium_bme_v1,0,incentive_ratio,-0.941939
7,helium_bme_v1,0,retention_absolute,0.479000
7,helium_bme_v1,0,retention_rate,0.900376
8,helium_bme_v1,0,price,0.406006
8,helium_bme_v1,0,supply,181065996.339510
8,helium_bme_v1,0,minted,558477.083333
8,helium_bme_v1,0,burned,273395.075660
8,helium_bme_v1,0,providers,159655.000000
8,helium_bme_v1,0,capacity,28400172.974787
8,helium_bme_v1,0,utilization,7.816854
8,helium_bme_v1,0,solvencyScore,0.489537
8,helium_bme_v1,0,profit_avg_provider,-6.839237
8,helium_bme_v1,0,incentive_ratio,-0.822473
8,helium_bme_v1,0,retention_absolute,0.431500
8,helium_bme_v1,0,retention_rate,0.900835
9,helium_bme_v1,0,price,0.149361
9,helium_bme_v1,0,supply,180887937.723352
9,helium_bme_v1,0,minted,565106.250000
9,helium_bme_v1,0,burned,743164.866158
9,helium_bme_v1,0,providers,143745.000000
9,helium_bme_v1,0,capacity,25626695.880989
9,helium_bme_v1,0,utilization,8.662841
9,helium_bme_v1,0,solvencyScore,1.315089
9,helium_bme_v1,0,profit_avg_provider,-7.709289
9,helium_bme_v1,0,incentive_ratio,-0.926602
9,helium_bme_v1,0,retention_absolute,0.388500
9,helium_bme_v1,0,retention_rate,0.900348
0,helium_bme_v1,1,price,3.000000
0,helium_bme_v1,1,supply,180344627.629391
0,helium_bme_v1,1,minted,500000.000000
0,helium_bme_v1,1,burned,155372.370609
0,helium_bme_v1,1,providers,370000.000000
0,helium_bme_v1,1,capacity,66849596.439405
0,helium_bme_v1,1,utilization,3.320888
0,helium_bme_v1,1,solvencyScore,0.310745
0,helium_bme_v1,1,profit_avg_provider,-4.051969
0,helium_bme_v1,1,incentive_ratio,-0.493243
0,helium_bme_v1,1,retention_absolute,1.000000
0,helium_bme_v1,1,retention_rate,1.000000
1,helium_bme_v1,1,price,1.103638
1,helium_bme_v1,1,supply,180666386.259185
1,helium_bme_v1,1,minted,500000.000000
1,helium_bme_v1,1,burned,178241.370206
1,helium_bme_v1,1,providers,333000.000000
1,helium_bme_v1,1,capacity,60471236.060824
1,helium_bme_v1,1,utilization,3.671167
1,helium_bme_v1,1,solvencyScore,0.356483
1,helium_bme_v1,1,profit_avg_provider,-6.373951
1,helium_bme_v1,1,incentive_ratio,-0.792861
1,helium_bme_v1,1,retention_absolute,0.900000
1,helium_bme_v1,1,retention_rate,0.900000
2,helium_bme_v1,1,price,0.406006
2,helium_bme_v1,1,supply,180893116.183525
