profile_id,metric,week,p25,median,p75
ono_v3_calibrated,retention_rate,9,0.900146,0.900222,0.900222
helium_bme_v1,price,0,3.000000,3.000000,3.000000
helium_bme_v1,price,1,1.103638,1.103638,1.103638
helium_bme_v1,price,2,0.406006,0.406006,0.406006
helium_bme_v1,price,3,0.149361,0.149361,0.149361
helium_bme_v1,price,4,0.406006,0.406006,0.406006
helium_bme_v1,price,5,0.149361,0.149361,0.149361
helium_bme_v1,price,6,0.406006,0.406006,0.406006
helium_bme_v1,price,7,0.149361,0.149361,0.149361
helium_bme_v1,price,8,0.406006,0.406006,0.406006
helium_bme_v1,price,9,0.149361,0.149361,0.149361
helium_bme_v1,supply,0,180344532.292991,180344627.629391,180344627.629391
helium_bme_v1,supply,1,180666042.073959,180666386.259185,180666386.259185
helium_bme_v1,supply,2,180892771.998298,180893116.183525,180893116.183525
helium_bme_v1,supply,3,180662219.632140,180662563.817367,180662563.817367
helium_bme_v1,supply,4,180912614.139813,180912958.325040,180912958.325040
helium_bme_v1,supply,5,180703336.773655,180703680.958882,180703680.958882
helium_bme_v1,supply,6,180972925.031328,180973269.216555,180973269.216555
helium_bme_v1,supply,7,180780914.331837,180781258.517064,180781258.517064
helium_bme_v1,supply,8,181065996.339510,181066340.524737,181066340.524737
helium_bme_v1,supply,9,180887937.723352,180888281.908579,180888281.908579
helium_bme_v1,minted,0,500000.000000,500000.000000,500000.000000
helium_bme_v1,minted,1,500000.000000,500000.000000,500000.000000
helium_bme_v1,minted,2,500125.000000,500125.000000,500125.000000
helium_bme_v1,minted,3,512612.500000,512612.500000,512612.500000
helium_bme_v1,minted,4,523789.583333,523789.583333,523789.583333
helium_bme_v1,minted,5,533887.500000,533887.500000,533887.500000
helium_bme_v1,minted,6,542983.333333,542983.333333,542983.333333
helium_bme_v1,minted,7,551154.166667,551154.166667,551154.166667
helium_bme_v1,minted,8,558477.083333,558477.083333,558477.083333
helium_bme_v1,minted,9,565106.250000,565106.250000,565106.250000
helium_bme_v1,burned,0,155372.370609,155467.707009,155467.707009
helium_bme_v1,burned,1,178241.370206,178490.219033,178490.219033
helium_bme_v1,burned,2,273395.075660,273395.075660,273395.075660
helium_bme_v1,burned,3,743164.866158,743164.866158,743164.866158
helium_bme_v1,burned,4,273395.075660,273395.075660,273395.075660
helium_bme_v1,burned,5,743164.866158,743164.866158,743164.866158
helium_bme_v1,burned,6,273395.075660,273395.075660,273395.075660
helium_bme_v1,burned,7,743164.866158,743164.866158,743164.866158
helium_bme_v1,burned,8,273395.075660,273395.075660,273395.075660
helium_bme_v1,burned,9,743164.866158,743164.866158,743164.866158
helium_bme_v1,providers,0,370000.000000,370000.000000,370000.000000
helium_bme_v1,providers,1,333000.000000,333000.000000,333000.000000
helium_bme_v1,providers,2,299700.000000,299700.000000,299700.000000
helium_bme_v1,providers,3,269730.000000,269730.000000,269730.000000
helium_bme_v1,providers,4,242905.000000,242905.000000,242905.000000
helium_bme_v1,providers,5,218670.000000,218670.000000,218670.000000
helium_bme_v1,providers,6,196840.000000,196840.000000,196840.000000
helium_bme_v1,providers,7,177230.000000,177230.000000,177230.000000
helium_bme_v1,providers,8,159655.000000,159655.000000,159655.000000
helium_bme_v1,providers,9,143745.000000,143745.000000,143745.000000
helium_bme_v1,capacity,0,65996161.798908,66849596.439405,66849596.439405
helium_bme_v1,capacity,1,59578523.411395,60471236.060824,60471236.060824
helium_bme_v1,capacity,2,53588647.699220,54367804.945418,54367804.945418
helium_bme_v1,capacity,3,48291604.690707,48938243.548938,48938243.548938
helium_bme_v1,capacity,4,43517344.889207,44100777.320617,44100777.320617
helium_bme_v1,capacity,5,39237996.845475,39686793.048465,39686793.048465
helium_bme_v1,capacity,6,35284926.157391,35608908.344816,35608908.344816
helium_bme_v1,capacity,7,31692797.047582,32073748.649818,32073748.649818
helium_bme_v1,capacity,8,28400172.974787,29001501.206093,29001501.206093
helium_bme_v1,capacity,9,25626695.880989,26109119.677844,26109119.677844
helium_bme_v1,utilization,0,3.320888,3.363832,3.363832
helium_bme_v1,utilization,1,3.671167,3.726175,3.726175
helium_bme_v1,utilization,2,4.083299,4.142668,4.142668
helium_bme_v1,utilization,3,4.536330,4.597072,4.597072
helium_bme_v1,utilization,4,5.033925,5.101414,5.101414
helium_bme_v1,utilization,5,5.593800,5.657781,5.657781
helium_bme_v1,utilization,6,6.234395,6.291639,6.291639
helium_bme_v1,utilization,7,6.921548,7.004746,7.004746
helium_bme_v1,utilization,8,7.654776,7.816854,7.816854
helium_bme_v1,utilization,9,8.502776,8.662841,8.662841
helium_bme_v1,solvencyScore,0,0.310745,0.310935,0.310935
helium_bme_v1,solvencyScore,1,0.356483,0.356980,0.356980
helium_bme_v1,solvencyScore,2,0.546653,0.546653,0.546653
helium_bme_v1,solvencyScore,3,1.449760,1.449760,1.449760
helium_bme_v1,solvencyScore,4,0.521956,0.521956,0.521956
helium_bme_v1,solvencyScore,5,1.391988,1.391988,1.391988
helium_bme_v1,solvencyScore,6,0.503505,0.503505,0.503505
helium_bme_v1,solvencyScore,7,1.348379,1.348379,1.348379
helium_bme_v1,solvencyScore,8,0.489537,0.489537,0.489537
helium_bme_v1,solvencyScore,9,1.315089,1.315089,1.315089
helium_bme_v1,profit_avg_provider,0,-4.108780,-4.051969,-4.051969
helium_bme_v1,profit_avg_provider,1,-6.464991,-6.373951,-6.373951
